,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Group
CTAG2,1.28527669464087,-2.22805304795941,0.799162141745945,-2.78798623154463,0.00530367978377535,0.0147318073549643,downregulated
TUBB2A,164.072389758545,-2.04737317927983,0.281944875270885,-7.2616080619049,3.8251522881999e-13,2.01936631941861e-11,downregulated
ENHO,10.3898548391437,-1.99227544037983,0.353583949512731,-5.63451888335247,1.75547726014766e-08,3.39078343746548e-07,downregulated
PCSK1N,32.7498098911872,-1.97069009666846,0.238998936489903,-8.24560194957906,1.64330849531048e-16,1.57355529428613e-14,downregulated
VMO1,5.87881335621035,-1.95058850495812,0.394111063140246,-4.94933709654324,7.44666752240785e-07,8.30061354417252e-06,downregulated
CCL14,1.51264076288949,-1.91288617599508,0.499525365951819,-3.82940748634492,0.000128452160542452,0.000643762748910142,downregulated
TBC1D3D,105.066185899462,-1.90068793967663,0.70514562386687,-2.69545449244038,0.00702926788506284,0.0186034813976626,downregulated
RFPL4AL1,2.28043021008784,-1.88882104880773,0.624439645230674,-3.02482563884935,0.00248776501642222,0.00780766140614241,downregulated
RFPL4A,2.43587135828731,-1.779599579873,0.534536171373535,-3.32924070470324,0.000870831082615726,0.00323230951530893,downregulated
HBG2,1500.5016827882,-1.74973899771471,0.332609262285599,-5.26064423369027,1.43551547483342e-07,2.05422492670519e-06,downregulated
PRSS33,101.573613022724,-1.74522642719741,0.383089047093928,-4.55566777603407,5.22194154008398e-06,4.32010071712278e-05,downregulated
SCT,1.47474211229415,-1.7183205777271,0.39371545930206,-4.36437162201649,1.27488691491832e-05,9.24305849470782e-05,downregulated
TPPP3,82.5969698786216,-1.6825348778144,0.246578496046451,-6.82352640149709,8.88324059430325e-12,3.64273569883023e-10,downregulated
GSTM1,159.748099374967,-1.65082188342816,0.562034237547494,-2.93722654803332,0.00331162084186888,0.00990624765625183,downregulated
PPP1R17,9.7859596885442,-1.63419188985409,0.328740383666859,-4.97107131051523,6.65839517576617e-07,7.54338766231231e-06,downregulated
CACNG6,16.6748743427438,-1.6172769146849,0.326521950083204,-4.95304194487625,7.30622178078942e-07,8.15230768349091e-06,downregulated
BOLA2,3.99652817717852,-1.60642420261608,0.454496428091053,-3.5345144721231,0.000408525063339728,0.00169916006042572,downregulated
LYPD2,7.06623083170654,-1.57405133977219,0.472586399683558,-3.33071654373923,0.00086622760192586,0.00321721256238278,downregulated
FCER1A,228.826006140843,-1.52093911413566,0.260888951568881,-5.82983336392494,5.54827522160062e-09,1.24074596943173e-07,downregulated
FOXE3,1.6726248468357,-1.50460840540641,0.635441071127434,-2.3678173693382,0.0178933661103819,0.0406918111065051,downregulated
SHC2,2.79051082372459,-1.49154740740051,0.365836249132416,-4.07709025810789,4.5602794120059e-05,0.00026986900057505,downregulated
HBZ,5.33068093971869,-1.47037736643351,0.375794126288583,-3.91272045935164,9.12621574240585e-05,0.000485489383138522,downregulated
CRIP2,37.2720826515213,-1.47015595420298,0.27962362933849,-5.25762417747365,1.45928355661936e-07,2.08492242748109e-06,downregulated
TUBB2B,3.67930561946642,-1.46578139975738,0.354417570453395,-4.13574698873492,3.53801842937652e-05,0.000217599616554958,downregulated
ALB,5.16180756837938,-1.43545689306512,0.331472658265452,-4.33054388430303,1.4874149808372e-05,0.000104922805583209,downregulated
NOXA1,17.0481090319346,-1.42036617352659,0.218154697331679,-6.51082094907675,7.4741191393933e-11,2.59747283296058e-09,downregulated
FXYD7,19.2337098446516,-1.41351363505219,0.223700622379613,-6.31877381482427,2.63646823853509e-10,8.04435614069639e-09,downregulated
CCL3L1,89.7538957407942,-1.4091496925615,0.267174777226016,-5.27426169188655,1.33291595598326e-07,1.92577472228015e-06,downregulated
PLD4,74.758231632908,-1.40778316250239,0.209222442365402,-6.72864319231937,1.71252418052531e-11,6.57331776072849e-10,downregulated
CD248,27.3350089291551,-1.40099090317427,0.218222160689639,-6.42002122399839,1.36255347066938e-10,4.47603787937776e-09,downregulated
TTC9,404.594086160918,-1.38573012651225,0.126966581328371,-10.9141327742642,9.86664517718191e-28,3.28924715703016e-25,downregulated
PALM,3.60695428198739,-1.37904312221095,0.305268009066508,-4.51748326471544,6.25789721898465e-06,5.03372054227711e-05,downregulated
IGFBP6,3.98740847454589,-1.36983982440756,0.354184356598179,-3.86758985508115,0.000109916332242814,0.000565023932905523,downregulated
ZNF837,7.5474268088229,-1.36766440038373,0.220509189564325,-6.20230115164778,5.5643468940731e-10,1.57747043759219e-08,downregulated
