"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015671","oxygen transport","4/111","15/18800",1.49422447118052e-06,0.00283603804630063,0.00270061412317575,"3048/3050/3040/3039",4
"GO:0015669","gas transport","4/111","21/18800",6.37495239792433e-06,0.00604982982563019,0.00576094382486109,"3048/3050/3040/3039",4
"GO:0042743","hydrogen peroxide metabolic process","5/111","55/18800",1.80198317687534e-05,0.0106361228266692,0.0101282363115695,"3048/3050/10811/3040/3039",5
"GO:0071674","mononuclear cell migration","8/111","199/18800",2.38132001363097e-05,0.0106361228266692,0.0101282363115695,"6358/6349/326/3565/2838/4681/146433/388372",8
"GO:0042744","hydrogen peroxide catabolic process","4/111","30/18800",2.80192909027113e-05,0.0106361228266692,0.0101282363115695,"3048/3050/3040/3039",4
"GO:1990748","cellular detoxification","6/111","115/18800",6.17180682286224e-05,0.0195234822496542,0.018591214587464,"3048/2944/3050/213/3040/3039",6
"GO:0097237","cellular response to toxic substance","6/111","123/18800",8.97208211147126e-05,0.0220140529201875,0.0209628577804681,"3048/2944/3050/213/3040/3039",6
"GO:0050900","leukocyte migration","10/111","384/18800",9.27884211599052e-05,0.0220140529201875,0.0209628577804681,"6358/6349/326/3565/2838/4681/146433/388372/83483/55512",10
"GO:0098754","detoxification","6/111","150/18800",0.00026544296112763,0.0559789711355825,0.0533059139480867,"3048/2944/3050/213/3040/3039",6
"GO:0098869","cellular oxidant detoxification","5/111","100/18800",0.000315947661133624,0.0599668660831618,0.0571033825438349,"3048/3050/213/3040/3039",5
"GO:0071356","cellular response to tumor necrosis factor","7/111","229/18800",0.000421619593505775,0.0727485444067237,0.0692747217272168,"6358/6349/7293/388372/55022/83483/55512",7
"GO:0034612","response to tumor necrosis factor","7/111","249/18800",0.000693355719096411,0.102413603167735,0.0975232414391884,"6358/6349/7293/388372/55022/83483/55512",7
"GO:0072676","lymphocyte migration","5/111","119/18800",0.000701463035395443,0.102413603167735,0.0975232414391884,"6358/6349/326/2838/388372",5
"GO:0002548","monocyte chemotaxis","4/111","70/18800",0.000781989994679162,0.106015500707218,0.100953144425874,"6358/6349/4681/388372",4
"GO:0071621","granulocyte chemotaxis","5/111","128/18800",0.000974432954672849,0.123298249864605,0.117410623380581,"6358/6349/3565/146433/388372",5
"GO:1903580","positive regulation of ATP metabolic process","3/111","37/18800",0.00134479150307485,0.159525892052254,0.151908355972336,"3565/51085/55022",3
"GO:0070344","regulation of fat cell proliferation","2/111","10/18800",0.00150730081187384,0.16823614162843,0.160202681590602,"2624/55022",2
"GO:0046461","neutral lipid catabolic process","3/111","41/18800",0.00181366191105339,0.16823614162843,0.160202681590602,"344/2166/140701",3
"GO:0046464","acylglycerol catabolic process","3/111","41/18800",0.00181366191105339,0.16823614162843,0.160202681590602,"344/2166/140701",3
"GO:0002685","regulation of leukocyte migration","6/111","218/18800",0.00187005121279996,0.16823614162843,0.160202681590602,"326/3565/4681/146433/83483/55512",6
"GO:0050920","regulation of chemotaxis","6/111","225/18800",0.00219164820691756,0.16823614162843,0.160202681590602,"347733/10501/3565/4681/3315/146433",6
