"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000280","nuclear division","65/850","446/18800",4.79400628564872e-17,2.29009680265439e-13,2.04426520664873e-13,"56776/9232/81930/675/146909/1062/146956/55143/51203/898/56154/9088/286151/1950/11065/11004/9928/995/10635/84057/5347/83540/23397/9212/79075/10615/9134/858/9700/3976/83987/3832/1111/891/56992/8438/400629/5888/7474/991/4751/164045/1063/7272/259266/22974/64151/9133/24137/54443/4605/3833/11130/83903/4288/699/9787/113130/701/7153/9319/990/3479/157313/8900",65
"GO:0048285","organelle fission","65/850","493/18800",7.04122255048227e-15,1.68179600618269e-11,1.50126276589493e-11,"56776/9232/81930/675/146909/1062/146956/55143/51203/898/56154/9088/286151/1950/11065/11004/9928/995/10635/84057/5347/83540/23397/9212/79075/10615/9134/858/9700/3976/83987/3832/1111/891/56992/8438/400629/5888/7474/991/4751/164045/1063/7272/259266/22974/64151/9133/24137/54443/4605/3833/11130/83903/4288/699/9787/113130/701/7153/9319/990/3479/157313/8900",65
"GO:0140014","mitotic nuclear division","47/850","293/18800",3.17719665907747e-14,5.05915614680435e-11,4.51607847927117e-11,"9232/81930/146909/1062/55143/51203/9088/286151/1950/11065/11004/9928/995/5347/83540/23397/9212/79075/10615/858/9700/83987/3832/1111/891/56992/991/4751/1063/7272/22974/64151/24137/54443/4605/3833/11130/83903/4288/699/9787/113130/701/9319/990/3479/157313",47
"GO:0007059","chromosome segregation","51/850","348/18800",1.00975429898541e-13,1.05312580396493e-10,9.40077483525648e-11,"81610/56776/9232/81930/116028/147841/5359/57082/146909/1062/146956/55143/51203/898/56154/11065/11004/9928/57405/5347/83540/23397/9212/79075/10615/9134/9700/221150/891/991/4751/220134/164045/1063/7272/157570/64151/24137/3833/11130/83903/4288/55355/699/9787/113130/701/7153/9319/990/157313",51
"GO:0019730","antimicrobial humoral response","29/850","122/18800",1.10228784170497e-13,1.05312580396493e-10,9.40077483525648e-11,"84659/10563/1755/3853/6037/149708/1991/8339/51297/128488/8346/820/9547/566/728358/8343/1511/6357/4057/6373/1669/8344/1667/3627/6278/1672/1668/5657/3512",29
"GO:0098813","nuclear chromosome segregation","45/850","287/18800",2.60488339475131e-13,2.0739213294545e-10,1.85129519862063e-10,"81610/56776/9232/81930/116028/147841/57082/146909/1062/146956/55143/51203/898/56154/11065/11004/9928/57405/5347/83540/23397/9212/79075/10615/9134/9700/891/991/4751/164045/1063/7272/157570/64151/24137/3833/11130/83903/699/9787/113130/701/7153/9319/990",45
"GO:0019731","antibacterial humoral response","20/850","60/18800",7.72609361046539e-13,5.27250702531331e-10,4.70652710014967e-10,"84659/1755/6037/149708/1991/8339/51297/128488/8346/820/728358/8343/1511/4057/1669/8344/1667/1672/1668/3512",20
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","22/850","79/18800",3.38536462388761e-12,2.02148585103889e-09,1.80448843307483e-09,"84659/10563/3853/6037/1991/8339/51297/8346/820/9547/728358/8343/6357/4057/6373/1669/8344/1667/3627/6278/1672/1668",22
"GO:0000070","mitotic sister chromatid segregation","32/850","171/18800",6.39701070640047e-12,3.39539112716389e-09,3.03091115457641e-09,"9232/81930/146909/1062/55143/51203/11065/11004/9928/5347/83540/23397/9212/79075/10615/9700/891/991/4751/1063/7272/64151/24137/3833/11130/83903/699/9787/113130/701/9319/990",32
"GO:0000819","sister chromatid segregation","35/850","205/18800",1.0241065232582e-11,4.89215686160444e-09,4.3670058165463e-09,"9232/81930/116028/146909/1062/55143/51203/11065/11004/9928/5347/83540/23397/9212/79075/10615/9700/891/991/4751/1063/7272/157570/64151/24137/3833/11130/83903/699/9787/113130/701/7153/9319/990",35
"GO:0002227","innate immune response in mucosa","13/850","27/18800",3.35627256372665e-11,1.4575376397202e-08,1.3010775268571e-08,"6036/6037/8339/8346/820/728358/8343/4057/1669/8344/1667/1672/1668",13
"GO:0051321","meiotic cell cycle","39/850","266/18800",8.34365674278572e-11,3.32147068835728e-08,2.96492574254605e-08,"440822/56776/9232/81930/675/146956/898/56154/9088/286151/995/10635/84057/5347/83540/23397/9134/9700/3976/116369/5017/8438/400629/5888/7474/991/4751/164045/7272/51207/259266/9133/9156/699/701/7153/993/9319/8900",39
"GO:0051783","regulation of nuclear division","27/850","139/18800",1.17474955072443e-10,4.316752772162e-08,3.85336876921835e-08,"51203/9088/286151/1950/995/10635/5347/9212/858/9700/3976/83987/1111/891/7474/991/4751/1063/7272/11130/4288/699/9787/701/9319/3479/157313",27
"GO:1903046","meiotic cell cycle process","33/850","207/18800",2.60449525636174e-10,8.88690988545715e-08,7.93294006279804e-08,"56776/9232/81930/675/146956/898/56154/286151/995/10635/84057/5347/83540/23397/9134/9700/3976/5017/8438/400629/5888/7474/991/164045/7272/259266/9133/699/701/7153/993/9319/8900",33
"GO:0051607","defense response to virus","40/850","290/18800",3.14921162677326e-10,9.84932981962771e-08,8.79204854385858e-08,"85363/59067/23586/2635/9636/5359/9582/9447/6036/1755/83666/81030/10346/5610/51297/2537/24138/64135/566/728358/2633/3433/388646/4599/117854/64108/51191/4938/1667/55601/4939/3627/3437/8638/4940/1668/3434/91543/10964/3429",40
"GO:0140546","defense response to symbiont","40/850","291/18800",3.49664496275064e-10,9.84932981962771e-08,8.79204854385858e-08,"85363/59067/23586/2635/9636/5359/9582/9447/6036/1755/83666/81030/10346/5610/51297/2537/24138/64135/566/728358/2633/3433/388646/4599/117854/64108/51191/4938/1667/55601/4939/3627/3437/8638/4940/1668/3434/91543/10964/3429",40
"GO:0009615","response to virus","48/850","392/18800",3.50509957993869e-10,9.84932981962771e-08,8.79204854385858e-08,"85363/59067/4486/23586/2635/9636/5359/9582/9447/6036/5450/9201/1755/83666/81030/10346/5610/51297/1129/2537/1543/6387/24138/64135/566/728358/2633/3433/388646/4599/117854/64108/51191/4938/1667/55601/4939/3627/3437/8638/4940/1668/10561/3434/91543/6355/10964/3429",48
"GO:0065004","protein-DNA complex assembly","32/850","203/18800",6.51786379234325e-10,1.72976862977909e-07,1.54408574402237e-07,"23493/8294/4171/653604/2491/3017/1062/8341/8339/8360/8340/3009/8346/8968/8345/5888/8343/3018/8342/1063/8358/8352/8356/1058/8365/55355/8344/9787/3010/8355/8318/8348",32
"GO:0044772","mitotic cell cycle phase transition","51/850","440/18800",6.93063922602479e-10,1.74250860961686e-07,1.55545814430063e-07,"1033/6491/126520/11170/1869/1062/898/7015/9088/11065/10763/1956/9928/995/5347/11113/9212/83844/9134/63967/2305/1543/9700/1111/891/4998/890/6347/9833/1063/7272/9133/54443/815/51512/11130/90381/128239/699/9787/113130/701/983/993/51514/9319/3624/144455/990/6241/8900",51
"GO:0007088","regulation of mitotic nuclear division","23/850","111/18800",7.34903099890348e-10,1.7553160540881e-07,1.56689076718726e-07,"51203/9088/286151/1950/995/5347/9212/858/9700/83987/1111/891/4751/1063/7272/11130/4288/699/9787/701/9319/3479/157313",23
"GO:0140013","meiotic nuclear division","30/850","188/18800",1.65386320956738e-09,3.76214502481114e-07,3.35829567015412e-07,"56776/9232/81930/675/146956/898/56154/286151/10635/84057/5347/83540/23397/9134/9700/3976/8438/400629/5888/7474/991/164045/7272/259266/9133/699/701/7153/9319/8900",30
"GO:0006334","nucleosome assembly","24/850","126/18800",1.91052739600952e-09,4.14844971397158e-07,3.70313228767204e-07,"8294/4171/653604/3017/8341/8339/8360/8340/3009/8346/8968/8345/8343/3018/8342/8358/8352/8356/8365/55355/8344/3010/8355/8348",24
"GO:1903900","regulation of viral life cycle","25/850","139/18800",3.06277955084193e-09,6.34919066597016e-07,5.66763359250909e-07,"85363/27074/558/9636/5359/9582/10346/5610/24138/7113/2494/64135/5806/388646/4599/117854/4057/4061/4938/4939/8638/7153/4940/3434/91543",25
"GO:0051983","regulation of chromosome segregation","20/850","91/18800",3.18988017549265e-09,6.34919066597016e-07,5.66763359250909e-07,"9232/116028/5359/1062/11065/11004/5347/9212/9700/891/1063/7272/11130/4288/699/9787/701/9319/990/157313",20
"GO:0007346","regulation of mitotic cell cycle","52/850","478/18800",4.35070680098619e-09,8.31333055532441e-07,7.4209318950716e-07,"6491/126520/675/11170/1869/1062/146956/51203/7015/9088/286151/1950/11065/1956/9928/995/64094/5347/9212/63967/1543/858/9700/83987/1111/891/5017/4998/4751/2296/6347/1063/7272/54443/51512/11130/4288/90381/699/9787/113130/701/983/993/51514/9319/3624/144455/990/3479/157313/6241",52
"GO:0002385","mucosal immune response","13/850","38/18800",5.70211930576751e-09,1.04765476629428e-06,9.35193737152396e-07,"6036/6037/8339/8346/820/728358/8343/4057/1669/8344/1667/1672/1668",13
"GO:0051304","chromosome separation","20/850","97/18800",1.02844014619752e-08,1.81957725125392e-06,1.6242538137412e-06,"9232/5359/1062/146956/11065/5347/23397/9212/9700/891/164045/1063/7272/11130/699/9787/701/7153/9319/990",20
"GO:0002251","organ or tissue specific immune response","13/850","41/18800",1.63559716949216e-08,2.79044559952288e-06,2.49090380962885e-06,"6036/6037/8339/8346/820/728358/8343/4057/1669/8344/1667/1672/1668",13
"GO:0045071","negative regulation of viral genome replication","15/850","57/18800",2.22172733268126e-08,3.65972119593738e-06,3.2668665788355e-06,"9636/5359/9582/5610/24138/64135/4599/117854/4057/4938/4939/8638/4940/3434/91543",15
"GO:0071824","protein-DNA complex subunit organization","32/850","237/18800",3.1433452273228e-08,5.00525338364034e-06,4.46796193539813e-06,"23493/8294/4171/653604/2491/3017/1062/8341/8339/8360/8340/3009/8346/8968/8345/5888/8343/3018/8342/1063/8358/8352/8356/1058/8365/55355/8344/9787/3010/8355/8318/8348",32
