nodeName	altName	nodeAttr[nodesPresent, ]
ABCB9	NA	black
ALG14	NA	black
ALG5	NA	black
APOO	NA	black
AURKB	NA	black
B4GALT2	NA	black
B9D1	NA	black
BHLHA15	NA	black
BIRC5	NA	black
BUB1	NA	black
BUB1B	NA	black
CALR	NA	black
CALU	NA	black
CAV1	NA	black
CCL25	NA	black
CCNA2	NA	black
CCNB1	NA	black
CCNB2	NA	black
CCNE1	NA	black
CCNF	NA	black
CDC20	NA	black
CDC45	NA	black
CDC6	NA	black
CDCA2	NA	black
CDCA3	NA	black
CDCA5	NA	black
CDCA8	NA	black
CDK1	NA	black
CENPA	NA	black
CENPM	NA	black
CENPN	NA	black
CENPO	NA	black
CENPS	NA	black
CENPU	NA	black
CENPW	NA	black
CEP55	NA	black
CHAC1	NA	black
CHAC2	NA	black
CHAF1B	NA	black
CHEK1	NA	black
CKS1B	NA	black
CKS2	NA	black
CLPTM1L	NA	black
CLSPN	NA	black
CNKSR1	NA	black
CPNE5	NA	black
CRYBB1	NA	black
DEPDC1	NA	black
DEPDC1B	NA	black
DERL3	NA	black
DHCR24	NA	black
DLGAP5	NA	black
DNAJB11	NA	black
DTL	NA	black
DUSP5	NA	black
E2F8	NA	black
EAF2	NA	black
ELL2	NA	black
ERLEC1	NA	black
ESCO2	NA	black
ESPL1	NA	black
EXO1	NA	black
FABP5	NA	black
FBXO10	NA	black
FBXO16	NA	black
FEN1	NA	black
FKBP11	NA	black
FOXM1	NA	black
FOXRED1	NA	black
GGH	NA	black
GINS1	NA	black
GINS2	NA	black
GINS3	NA	black
GLDC	NA	black
GMNN	NA	black
GMPPB	NA	black
GPRC5D	NA	black
GTSE1	NA	black
HASPIN	NA	black
HERPUD1	NA	black
HID1	NA	black
HJURP	NA	black
HMGB3	NA	black
HMMR	NA	black
HSP90B1	NA	black
HSPA13	NA	black
HSPA5	NA	black
IFI27L1	NA	black
IGF1	NA	black
IGLL1	NA	black
IGLL5	NA	black
ISOC2	NA	black
ITM2C	NA	black
JCHAIN	NA	black
KCNN3	NA	black
KDELR2	NA	black
KIF11	NA	black
KIF18B	NA	black
KIF20A	NA	black
KIF2C	NA	black
KIF4A	NA	black
KIFC1	NA	black
LAMP5	NA	black
LRRC59	NA	black
MAGED1	NA	black
MANF	NA	black
MCM2	NA	black
MCM4	NA	black
MFGE8	NA	black
MIXL1	NA	black
MTFR2	NA	black
MYBL2	NA	black
MYDGF	NA	black
MZB1	NA	black
NEK2	NA	black
NT5DC2	NA	black
NUF2	NA	black
OIP5	NA	black
ORC1	NA	black
OSTC	NA	black
OXCT2	NA	black
PARM1	NA	black
PBK	NA	black
PCNA	NA	black
PDIA4	NA	black
PDIA5	NA	black
PDIA6	NA	black
PERP	NA	black
PHGDH	NA	black
PIF1	NA	black
PIMREG	NA	black
PIR	NA	black
PLAAT2	NA	black
PLK4	NA	black
PNOC	NA	black
POLQ	NA	black
POU2AF1	NA	black
PPIB	NA	black
PRDX4	NA	black
PTTG1	NA	black
PYCR1	NA	black
QPCTL	NA	black
RAD51	NA	black
RAD51AP1	NA	black
RAD54L	NA	black
RPN1	NA	black
RRM2	NA	black
SCD	NA	black
SDC1	NA	black
SDF2L1	NA	black
SEC11C	NA	black
SELENOS	NA	black
SHCBP1	NA	black
SIX5	NA	black
SKA1	NA	black
SLC16A14	NA	black
SLC17A9	NA	black
SLC25A4	NA	black
SLC35B1	NA	black
SPACA3	NA	black
SPAG5	NA	black
SPATS2	NA	black
SPC24	NA	black
SPC25	NA	black
SPCS2	NA	black
SRPRB	NA	black
SSR3	NA	black
ST7	NA	black
STMN1	NA	black
SUB1	NA	black
TCF19	NA	black
TEDC2	NA	black
TK1	NA	black
TMEM106C	NA	black
TMEM198	NA	black
TMEM214	NA	black
TNFRSF13B	NA	black
TNFRSF17	NA	black
TOP2A	NA	black
TPX2	NA	black
TRAIP	NA	black
TRAM2	NA	black
TRIP13	NA	black
TROAP	NA	black
TTK	NA	black
TUBG1	NA	black
TWIST2	NA	black
TXNDC11	NA	black
TXNDC5	NA	black
TYMS	NA	black
UAP1	NA	black
UBE2C	NA	black
UBE2T	NA	black
UCHL1	NA	black
UFD1	NA	black
XBP1	NA	black
ZWINT	NA	black
