p_val,avg_log2FC,pct.1,pct.2,p_val_adj
USP48,0,0.755376671568316,0.517,0.186,0
CLIC4,0,0.520735690729316,0.392,0.176,0
SMAP2,0,0.620752814906219,0.514,0.222,0
DIPK1A,0,0.697729765372583,0.37,0.09,0
MAN1A2,0,0.647451382650164,0.443,0.177,0
TENT5C,0,1.39877371825468,0.614,0.021,0
KCNN3,0,0.686752803831403,0.283,0.022,0
FCRL5,0,1.25189414791514,0.52,0.005,0
RABGAP1L,0,0.560440688050724,0.746,0.469,0
RALGPS2,0,1.08189769920364,0.579,0.113,0
DENND1B,0,0.608860276878045,0.47,0.213,0
BTG2,0,0.882892704262849,0.382,0.038,0
GALNT2,0,0.507898231202589,0.428,0.223,0
CYTOR,0,0.492827394994664,0.255,0.071,0
EIF2AK3,0,0.994437951108763,0.535,0.119,0
IGKC,0,1.90138363429122,0.591,0.008,0
ACOXL,0,0.644466815646275,0.365,0.099,0
MIR4435-2HG,0,0.591238133630907,0.416,0.179,0
CYTIP,0,0.540013873418597,0.355,0.121,0
ITGA6,0,0.68021566915565,0.299,0.07,0
PDK1,0,1.10475621235339,0.477,0.037,0
RHBDD1,0,0.703185931995017,0.414,0.127,0
SP140,0,0.640862049296502,0.331,0.068,0
HDLBP,0,0.618260012054067,0.446,0.193,0
EDEM1,0,0.780401413997218,0.416,0.105,0
IQSEC1,0,0.542392841329863,0.366,0.154,0
NUP210,0,0.475751693498396,0.259,0.07,0
ANKRD28,0,0.751045827228485,0.588,0.256,0
NGLY1,0,0.481396079389726,0.293,0.103,0
RBM6,0,0.512001830931292,0.618,0.386,0
NXPE3,0,0.649267249534777,0.279,0.028,0
IQCB1,0,0.506232343365336,0.309,0.112,0
EAF2,0,0.831866351689868,0.367,0.039,0
SLC15A2,0,0.576033509252659,0.27,0.05,0
SEC61A1,0,0.545261190161149,0.292,0.083,0
XRN1,0,0.586427948391642,0.549,0.29,0
SMC4,0,0.42091766714308,0.264,0.105,0
FNDC3B,0,0.74248889448426,0.922,0.589,0
KLHL6,0,0.470212543072723,0.269,0.088,0
ST6GAL1,0,1.18955729884124,0.77,0.219,0
AC092546.1,0,0.765209483664778,0.286,0.006,0
CD38,0,1.03368263772187,0.528,0.092,0
LCORL,0,0.501110135671361,0.385,0.18,0
SEL1L3,0,1.2475271651504,0.729,0.16,0
JCHAIN,0,1.41891329945448,0.542,0.002,0
PAPSS1,0,0.447523242472556,0.286,0.119,0
SEC24D,0,0.610780947041903,0.422,0.173,0
LARP1B,0,0.557026557740258,0.315,0.107,0
GAB1,0,0.83225558568528,0.574,0.21,0
FBXW7,0,1.175369758869,0.839,0.306,0
AC023424.3,0,1.00916600599161,0.583,0.16,0
SPCS3,0,0.571327855495364,0.295,0.074,0
CLPTM1L,0,0.835527672512674,0.434,0.094,0
SUB1,0,0.518493783069598,0.27,0.069,0
MEF2C,0,0.919970304239461,0.576,0.164,0
ELL2,0,0.642942483404143,0.687,0.36,0
SEC24A,0,0.789815733201931,0.413,0.091,0
MZB1,0,1.05160347251477,0.423,0.002,0
ADAM19,0,0.615115715918831,0.338,0.08,0
CPEB4,0,0.950309018310791,0.602,0.201,0
IRF4,0,0.735740718685686,0.267,0.009,0
GMDS,0,0.857305737798485,0.623,0.227,0
BMP6,0,0.722172307293988,0.265,0.017,0
TXNDC5,0,1.6676742727025,0.712,0.024,0
ATXN1,0,0.375805059790664,0.717,0.55,0
HIST1H2AC,0,0.580535421379573,0.326,0.118,0
TRAM2,0,0.849341113409786,0.416,0.07,0
UBE2J1,0,0.695707457877899,0.322,0.051,0
PRDM1,0,0.886324183875689,0.388,0.04,0
SEC63,0,0.496033266721658,0.391,0.192,0
MAN1A1,0,0.854043951065695,0.631,0.252,0
ESR1,0,0.740097383827879,0.368,0.08,0
GLCCI1,0,1.24896616383945,0.756,0.194,0
HDAC9,0,0.623389520509863,0.329,0.073,0
OSBPL3,0,0.489270088924125,0.397,0.199,0
VOPP1,0,1.08705040797545,0.684,0.188,0
CDK14,0,0.842729671457719,0.672,0.282,0
CDK6,0,0.549423366777067,0.365,0.141,0
SND1,0,0.813389701269692,0.732,0.354,0
CREB3L2,0,1.24303232371384,0.673,0.133,0
HIPK2,0,0.792527521704776,0.635,0.268,0
XKR6,0,0.532384199027485,0.399,0.177,0
CSGALNACT1,0,0.43890720256188,0.282,0.109,0
NUGGC,0,0.76309490418137,0.302,0.008,0
TPD52,0,1.17418419279104,0.612,0.095,0
NDUFAF6,0,0.787366739025207,0.4,0.102,0
TP53INP1,0,1.11476130953484,0.508,0.058,0
MTDH,0,0.477992881837235,0.432,0.238,0
AC016074.2,0,0.688554285389068,0.277,0.023,0
SLC44A1,0,0.565289575811928,0.401,0.173,0
STRBP,0,0.451616397433662,0.297,0.123,0
FBH1,0,0.593218563254395,0.317,0.085,0
SFMBT2,0,0.669192236353402,0.562,0.244,0
DNAJC1,0,0.639172032134747,0.559,0.275,0
BLNK,0,0.657550691874766,0.284,0.034,0
GBF1,0,0.506460429733402,0.406,0.202,0
CHST15,0,0.922607969507557,0.49,0.101,0
C11orf80,0,0.718394755642057,0.361,0.076,0
FCHSD2,0,0.731678497964159,0.709,0.364,0
SPCS2,0,0.672342935250174,0.325,0.061,0
RAB30,0,0.784774276911632,0.327,0.026,0
ATM,0,0.514713698328096,0.486,0.254,0
POU2AF1,0,1.31307818449337,0.552,0.014,0
ERC1,0,0.443232161597249,0.565,0.38,0
WNT5B,0,0.996057462340685,0.418,0.029,0
DENND5B,0,1.20642685480654,0.59,0.067,0
BICD1,0,0.591548975403657,0.384,0.142,0
SLC38A1,0,0.435436678970273,0.32,0.124,0
AC008014.1,0,1.013262797707,0.549,0.127,0
SPATS2,0,1.03646752316746,0.58,0.127,0
IFNG-AS1,0,1.62246333805111,0.717,0.024,0
LINC02384,0,0.789754676800764,0.314,0.017,0
HSP90B1,0,1.24135030139911,0.628,0.11,0
MED13L,0,0.491525474133506,0.77,0.55,0
FNDC3A,0,0.916366233063875,0.761,0.326,0
MBNL2,0,0.500686559391538,0.511,0.298,0
GAS6,0,0.554099564436381,0.293,0.079,0
SCFD1,0,0.561432137518344,0.45,0.217,0
SYNE2,0,0.486064116476429,0.571,0.312,0
FUT8,0,1.02420330431041,0.641,0.202,0
CEP128,0,1.37759367471234,0.67,0.102,0
SEL1L,0,0.926586538398127,0.491,0.112,0
CCDC88C,0,0.695114930387714,0.432,0.123,0
TRAF3,0,0.562325749196861,0.418,0.187,0
IGHGP,0,1.00633746528434,0.274,0.002,0
IGHA1,0,1.26670991658524,0.364,0.003,0
IGHG1,0,1.49333429106627,0.482,0.002,0
IGHG3,0,1.31981832557075,0.399,0.002,0
IGHM,0,1.01495176291512,0.275,0.006,0
FAM214A,0,0.752925897072307,0.516,0.188,0
LRRK1,0,0.622469660179288,0.364,0.124,0
PMM2,0,0.453913978631441,0.278,0.108,0
TXNDC11,0,0.96978350519409,0.543,0.142,0
HERPUD1,0,0.855463597575851,0.417,0.08,0
PLCG2,0,0.780037969802038,0.666,0.306,0
UBE2G1,0,0.609698561272238,0.396,0.149,0
MYO1D,0,0.769573309941243,0.621,0.262,0
IKZF3,0,0.483137141998756,0.266,0.058,0
MSI2,0,1.08021582254264,0.776,0.263,0
ERN1,0,0.736465851909822,0.407,0.121,0
SEC14L1,0,0.716528610240943,0.449,0.134,0
P4HB,0,0.484544717407044,0.285,0.098,0
SMCHD1,0,0.553847931146504,0.68,0.417,0
LMAN1,0,0.636658858325887,0.356,0.105,0
GNG7,0,0.795403873918052,0.318,0.033,0
HSH2D,0,0.627101579822912,0.261,0.022,0
SIPA1L3,0,0.47941041221652,0.434,0.234,0
POU2F2,0,0.556756071031968,0.268,0.048,0
RRBP1,0,0.808274307417028,0.548,0.206,0
HM13,0,0.626158131438428,0.388,0.135,0
NCOA3,0,0.877764254841941,0.677,0.276,0
IGLC2,0,1.17505303150523,0.33,0.003,0
IGLC3,0,1.04535348495628,0.274,0.002,0
XBP1,0,1.36680295153284,0.598,0.049,0
C22orf34,0,0.454505070272191,0.276,0.099,0
P2RY8,0,0.551507558552558,0.289,0.063,0
PIM2,0,0.818807818730884,0.313,0.005,0
OGT,0,0.559227841048208,0.479,0.233,0
SEPTIN6,0,0.495568454284471,0.328,0.116,0
PIP5K1B,3.90299601865932e-302,0.426880483895296,0.309,0.133,1.34832900460605e-297
ARHGAP15,9.50495070572717e-301,0.456727574448107,0.536,0.282,3.28358027080051e-296
ATG5,8.77510230122516e-296,0.454141338133934,0.333,0.159,3.03144684098124e-291
MBTPS1,1.32302956814402e-291,0.410271036840737,0.256,0.104,4.57053794611033e-287
LPIN1,2.5870091255845e-285,0.421421758909232,0.275,0.118,8.93708172524421e-281
DNAJC3,2.09043853907197e-284,0.438640720111694,0.32,0.152,7.22162897707801e-280
PELI1,6.70664235155781e-283,0.484133661174408,0.373,0.19,2.31687666676916e-278
ZEB1,2.3586243058404e-281,0.426989594447477,0.421,0.204,8.14810352695625e-277
ITPR2,9.77126546194832e-281,0.437256051361408,0.559,0.374,3.37558136648467e-276
INPP4A,2.05276767743809e-280,0.446086462662045,0.411,0.219,7.09149121847763e-276
SRP54,4.42187275529264e-279,0.421038853999588,0.279,0.123,1.5275801620434e-274
RPS19,1.58371461338177e-275,0.401850103492758,0.268,0.112,5.47110050338868e-271
SETBP1,3.02440908473342e-267,0.423257174905198,0.347,0.164,1.04481236241201e-262
RIC1,7.47733345825261e-266,0.442256128535131,0.371,0.197,2.58311961648795e-261
STK4,2.33592888561358e-263,0.422597115366233,0.39,0.2,8.06969992824068e-259
DOCK2,7.59823957226339e-262,0.424072751472845,0.484,0.261,2.62488784263411e-257
TRAM1,7.5694146523752e-258,0.398058535244645,0.272,0.122,2.61492998580954e-253
AFF1,1.31022148794238e-248,0.381489093215819,0.59,0.418,4.52629115224576e-244
PTPN2,1.01197221423734e-247,0.428271864482431,0.371,0.202,3.49595921130431e-243
COBLL1,3.50393130411472e-247,0.417287035453038,0.329,0.163,1.21046810831947e-242
TLK1,6.93725391118302e-246,0.422835487097471,0.413,0.238,2.39654373615729e-241
WWOX,1.10665375572864e-244,0.378191647785368,0.616,0.459,3.82304606454016e-240
SEMA4D,5.70703763291542e-244,0.357310413685978,0.282,0.122,1.97155322066696e-239
RALY,6.79977342268758e-241,0.405356371507748,0.297,0.144,2.34904972660165e-236
PRKCB,8.94585496035108e-237,0.415595450328038,0.391,0.203,3.09043505460288e-232
VPS37B,1.71508824372008e-236,0.395406664156335,0.295,0.141,5.92494384675538e-232
IFNAR2,3.90427400556955e-235,0.408108305897093,0.372,0.201,1.34877049796406e-230
TBL1XR1,1.202277421879e-232,0.378278041950284,0.569,0.408,4.15338758162319e-228
TTC3,2.57341872993615e-232,0.40263215360129,0.48,0.314,8.89013234443743e-228
SLC10A7,7.54907252614398e-231,0.39910236291259,0.287,0.14,2.6079025948817e-226
XYLT1,3.37634357803478e-228,0.376800032298106,0.296,0.137,1.16639165246789e-223
TBC1D1,1.09368113754145e-226,0.398465642018745,0.326,0.167,3.77823085775071e-222
SEC62,1.17724020641593e-225,0.377722752829605,0.27,0.128,4.06689401708446e-221
EIF5B,4.58024832690228e-224,0.388295605634874,0.291,0.143,1.58229258701166e-219
MAN2A1,3.57187287840808e-221,0.400442819044617,0.389,0.22,1.23393920457486e-216
AP001011.1,1.32943351456238e-218,0.416411677136561,0.411,0.242,4.59266101940722e-214
EHMT1,1.08990907339945e-216,0.421264499962866,0.461,0.308,3.76519988496574e-212
GMDS-DT,7.83296110232434e-216,0.411468408685459,0.444,0.285,2.70597474240897e-211
PVT1,2.60816962802243e-215,0.408725616624208,0.369,0.206,9.01018279696627e-211
NOP58,1.89220379475414e-209,0.369209209644151,0.267,0.128,6.53680722935766e-205
BTAF1,8.06795768890168e-207,0.390288480958343,0.36,0.206,2.78715666320797e-202
ARFGEF2,2.23402048688115e-206,0.390421465835623,0.342,0.192,7.71764717397962e-202
ANKRD12,4.79133100386529e-206,0.342440815009424,0.597,0.446,1.6552132085953e-201
PLCL2,9.24067201032128e-205,0.372930294659012,0.346,0.184,3.19228255268559e-200
NRDC,6.54734539162425e-202,0.38431256960219,0.372,0.218,2.26184593899051e-197
LARGE1,6.20821425160757e-201,0.404724724054601,0.343,0.195,2.14468969536035e-196
SRBD1,3.81062611227421e-200,0.379793647473593,0.303,0.16,1.31641889674625e-195
