"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000280","BP","GO:0000280","nuclear division","35/117","446/18800",4.89714518486783e-29,9.01564428534167e-26,7.65501115739865e-26,"AURKB/BUB1/BUB1B/CCNB1/CCNB2/CCNE1/CDC20/CDC6/CDCA2/CDCA5/CDCA8/CHEK1/DLGAP5/ESPL1/HASPIN/IGF1/KIF11/KIF18B/KIF2C/KIF4A/KIFC1/MYBL2/NEK2/NUF2/PTTG1/RAD51/RAD51AP1/RAD54L/SPAG5/TOP2A/TPX2/TRIP13/TTK/UBE2C/ZWINT",35
"GO:0048285","BP","GO:0048285","organelle fission","35/117","493/18800",1.52126232298998e-27,1.40032196831227e-24,1.18898660507375e-24,"AURKB/BUB1/BUB1B/CCNB1/CCNB2/CCNE1/CDC20/CDC6/CDCA2/CDCA5/CDCA8/CHEK1/DLGAP5/ESPL1/HASPIN/IGF1/KIF11/KIF18B/KIF2C/KIF4A/KIFC1/MYBL2/NEK2/NUF2/PTTG1/RAD51/RAD51AP1/RAD54L/SPAG5/TOP2A/TPX2/TRIP13/TTK/UBE2C/ZWINT",35
"GO:0007059","BP","GO:0007059","chromosome segregation","31/117","348/18800",2.42744220493607e-27,1.4896403664291e-24,1.26482514888774e-24,"AURKB/BUB1/BUB1B/CCNB1/CCNE1/CDC20/CDC6/CDCA2/CDCA5/CDCA8/DLGAP5/ESCO2/ESPL1/HASPIN/HJURP/KIF18B/KIF2C/KIF4A/KIFC1/NEK2/NUF2/PTTG1/SKA1/SPAG5/SPC24/SPC25/TOP2A/TRIP13/TTK/UBE2C/ZWINT",31
"GO:0140014","BP","GO:0140014","mitotic nuclear division","29/117","293/18800",6.8489964129571e-27,3.15225059906351e-24,2.67651570348455e-24,"AURKB/BUB1/BUB1B/CCNB1/CDC20/CDC6/CDCA2/CDCA5/CDCA8/CHEK1/DLGAP5/ESPL1/HASPIN/IGF1/KIF11/KIF18B/KIF2C/KIF4A/KIFC1/MYBL2/NEK2/NUF2/PTTG1/SPAG5/TPX2/TRIP13/TTK/UBE2C/ZWINT",29
"GO:0098813","BP","GO:0098813","nuclear chromosome segregation","28/117","287/18800",8.70158832919625e-26,3.20392482281006e-23,2.72039129870662e-23,"AURKB/BUB1/BUB1B/CCNB1/CCNE1/CDC20/CDC6/CDCA5/CDCA8/DLGAP5/ESCO2/ESPL1/HASPIN/KIF18B/KIF2C/KIF4A/KIFC1/NEK2/NUF2/PTTG1/SPAG5/SPC24/SPC25/TOP2A/TRIP13/TTK/UBE2C/ZWINT",28
"GO:0000819","BP","GO:0000819","sister chromatid segregation","25/117","205/18800",1.6867131396877e-25,5.17539815027508e-23,4.39433160076531e-23,"AURKB/BUB1/BUB1B/CCNB1/CDC20/CDC6/CDCA5/CDCA8/DLGAP5/ESCO2/ESPL1/HASPIN/KIF18B/KIF2C/KIF4A/KIFC1/NEK2/NUF2/PTTG1/SPAG5/TOP2A/TRIP13/TTK/UBE2C/ZWINT",25
"GO:0000070","BP","GO:0000070","mitotic sister chromatid segregation","23/117","171/18800",1.6834977337586e-24,4.42759903978512e-22,3.75938967613763e-22,"AURKB/BUB1/BUB1B/CCNB1/CDC20/CDC6/CDCA5/CDCA8/DLGAP5/ESPL1/HASPIN/KIF18B/KIF2C/KIF4A/KIFC1/NEK2/NUF2/PTTG1/SPAG5/TRIP13/TTK/UBE2C/ZWINT",23
"GO:0051983","BP","GO:0051983","regulation of chromosome segregation","14/117","91/18800",4.20560370118981e-16,9.67814551736304e-14,8.21752828456166e-14,"AURKB/BUB1/BUB1B/CCNB1/CDC6/CDCA2/DLGAP5/ESPL1/KIF2C/PTTG1/TRIP13/TTK/UBE2C/ZWINT",14
"GO:0044772","BP","GO:0044772","mitotic cell cycle phase transition","23/117","440/18800",3.28683960977869e-15,6.72341302400286e-13,5.70872142751036e-13,"AURKB/BUB1/BUB1B/CCNA2/CCNB1/CCNB2/CCNE1/CDC6/CDCA5/CDK1/CHEK1/CLSPN/DLGAP5/DTL/ESPL1/FOXM1/GTSE1/ORC1/RRM2/TRIP13/TTK/UBE2C/ZWINT",23
"GO:0010965","BP","GO:0010965","regulation of mitotic sister chromatid separation","12/117","65/18800",5.78618167239437e-15,1.0652360458878e-12,9.04471556158488e-13,"AURKB/BUB1/BUB1B/CCNB1/CDC6/DLGAP5/ESPL1/PTTG1/TRIP13/TTK/UBE2C/ZWINT",12
