node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
AURKB,TRIP13,9606.ENSP00000313950,9606.ENSP00000166345,0,0,0,0,0.858,0.284,0,0.282,0.92
AURKB,CDC6,9606.ENSP00000313950,9606.ENSP00000209728,0,0,0,0,0.767,0.18,0,0.553,0.907
AURKB,CENPM,9606.ENSP00000313950,9606.ENSP00000215980,0,0,0,0,0.805,0,0,0.241,0.845
AURKB,RAD51AP1,9606.ENSP00000313950,9606.ENSP00000228843,0,0,0,0,0.751,0,0,0.333,0.827
AURKB,DLGAP5,9606.ENSP00000313950,9606.ENSP00000247191,0,0,0,0,0.956,0,0,0.65,0.984
AURKB,FAM64A,9606.ENSP00000313950,9606.ENSP00000250056,0,0,0,0,0.802,0,0,0.307,0.857
AURKB,GINS2,9606.ENSP00000313950,9606.ENSP00000253462,0,0,0,0,0.825,0,0,0.224,0.858
AURKB,CCNB1,9606.ENSP00000313950,9606.ENSP00000256442,0,0,0,0,0.941,0.165,0,0.821,0.99
AURKB,TROAP,9606.ENSP00000313950,9606.ENSP00000257909,0,0,0,0,0.916,0,0,0.181,0.928
AURKB,ESPL1,9606.ENSP00000313950,9606.ENSP00000257934,0,0,0,0,0.92,0,0,0.802,0.983
AURKB,KIF11,9606.ENSP00000313950,9606.ENSP00000260731,0,0,0,0,0.959,0.29,0,0.804,0.993
AURKB,MCM4,9606.ENSP00000313950,9606.ENSP00000262105,0,0,0,0,0.746,0,0,0.345,0.827
AURKB,MCM2,9606.ENSP00000313950,9606.ENSP00000265056,0,0,0,0,0.828,0,0,0.436,0.898
AURKB,PLK4,9606.ENSP00000313950,9606.ENSP00000270861,0,0,0,0.832,0.735,0.34,0,0.679,0.838
AURKB,NUF2,9606.ENSP00000313950,9606.ENSP00000271452,0,0,0,0,0.829,0.27,0,0.806,0.973
AURKB,CCNA2,9606.ENSP00000313950,9606.ENSP00000274026,0,0,0,0,0.967,0.104,0,0.672,0.989
AURKB,CDCA5,9606.ENSP00000313950,9606.ENSP00000275517,0,0,0,0,0.788,0,0,0.565,0.904
AURKB,SKA1,9606.ENSP00000313950,9606.ENSP00000285116,0,0,0,0,0.802,0.27,0,0.561,0.931
AURKB,BUB1B,9606.ENSP00000313950,9606.ENSP00000287598,0,0,0,0,0.918,0.315,0,0.924,0.995
AURKB,CCNB2,9606.ENSP00000313950,9606.ENSP00000288207,0,0,0,0,0.962,0.165,0,0.735,0.991
AURKB,TPX2,9606.ENSP00000313950,9606.ENSP00000300403,0,0,0,0,0.898,0.428,0,0.765,0.985
AURKB,BIRC5,9606.ENSP00000313950,9606.ENSP00000301633,0,0,0,0,0.874,0.933,0.9,0.814,0.999
AURKB,BUB1,9606.ENSP00000313950,9606.ENSP00000302530,0,0,0,0,0.922,0.101,0.9,0.897,0.999
AURKB,SHCBP1,9606.ENSP00000313950,9606.ENSP00000306473,0,0,0,0,0.751,0,0,0.262,0.808
AURKB,ESCO2,9606.ENSP00000313950,9606.ENSP00000306999,0,0,0,0,0.903,0.079,0,0.423,0.944
AURKB,CHEK1,9606.ENSP00000313950,9606.ENSP00000388648,0,0,0.299,0.718,0.72,0.128,0,0.743,0.813
AURKB,E2F8,9606.ENSP00000313950,9606.ENSP00000481103,0,0,0,0,0.748,0,0,0.296,0.815
AURKB,CDCA2,9606.ENSP00000313950,9606.ENSP00000328228,0,0,0,0,0.622,0,0,0.577,0.834
AURKB,DTL,9606.ENSP00000313950,9606.ENSP00000355958,0,0,0,0,0.73,0.27,0,0.25,0.839
AURKB,ZWINT,9606.ENSP00000313950,9606.ENSP00000363055,0,0,0,0,0.7,0,0,0.56,0.862
AURKB,HMMR,9606.ENSP00000313950,9606.ENSP00000377492,0,0,0,0,0.803,0,0,0.353,0.867
AURKB,TCF19,9606.ENSP00000313950,9606.ENSP00000365433,0,0,0,0,0.868,0,0,0.168,0.886
AURKB,KIF18B,9606.ENSP00000313950,9606.ENSP00000465992,0,0,0,0,0.78,0.146,0,0.472,0.892
AURKB,GTSE1,9606.ENSP00000313950,9606.ENSP00000415430,0,0,0,0,0.848,0,0,0.369,0.9
AURKB,GSG2,9606.ENSP00000313950,9606.ENSP00000325290,0,0,0,0,0.341,0.27,0,0.81,0.901
AURKB,PBK,9606.ENSP00000313950,9606.ENSP00000428489,0,0,0,0,0.857,0.075,0,0.375,0.91
AURKB,CEP55,9606.ENSP00000313950,9606.ENSP00000360540,0,0,0,0,0.82,0,0,0.558,0.917
AURKB,NEK2,9606.ENSP00000313950,9606.ENSP00000355966,0,0,0.388,0.695,0.888,0,0,0.655,0.92
AURKB,HJURP,9606.ENSP00000313950,9606.ENSP00000414109,0,0,0,0,0.886,0,0,0.37,0.925
AURKB,CDCA3,9606.ENSP00000313950,9606.ENSP00000442068,0,0,0,0,0.879,0,0,0.414,0.926
AURKB,SPC24,9606.ENSP00000313950,9606.ENSP00000465075,0,0,0,0,0.849,0,0,0.563,0.931
AURKB,TYMS,9606.ENSP00000313950,9606.ENSP00000315644,0,0,0,0,0.914,0,0,0.292,0.937
AURKB,CDC45,9606.ENSP00000313950,9606.ENSP00000405726,0,0,0,0,0.895,0,0,0.436,0.938
AURKB,FOXM1,9606.ENSP00000313950,9606.ENSP00000342307,0,0,0,0,0.842,0,0,0.694,0.949
AURKB,RRM2,9606.ENSP00000313950,9606.ENSP00000353770,0,0,0,0,0.921,0,0,0.394,0.95
AURKB,SPAG5,9606.ENSP00000313950,9606.ENSP00000323300,0,0,0,0,0.919,0,0,0.456,0.954
AURKB,KIFC1,9606.ENSP00000313950,9606.ENSP00000393963,0,0,0,0,0.885,0.146,0,0.59,0.956
AURKB,TTK,9606.ENSP00000313950,9606.ENSP00000358813,0,0,0,0.645,0.934,0.334,0,0.765,0.966
AURKB,KIF4A,9606.ENSP00000313950,9606.ENSP00000363524,0,0,0,0,0.89,0.146,0,0.71,0.97
AURKB,UBE2C,9606.ENSP00000313950,9606.ENSP00000348838,0,0,0,0,0.933,0.058,0.3,0.584,0.979
