node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AURKB	TRIP13	9606.ENSP00000313950	9606.ENSP00000166345	0	0	0	0	0.858	0.284	0	0.282	0.920
AURKB	CDC6	9606.ENSP00000313950	9606.ENSP00000209728	0	0	0	0	0.767	0.180	0	0.553	0.907
AURKB	CENPM	9606.ENSP00000313950	9606.ENSP00000215980	0	0	0	0	0.805	0	0	0.241	0.845
AURKB	MYBL2	9606.ENSP00000313950	9606.ENSP00000217026	0	0	0	0	0.590	0.088	0	0.405	0.758
AURKB	RAD51AP1	9606.ENSP00000313950	9606.ENSP00000228843	0	0	0	0	0.751	0	0	0.333	0.827
AURKB	DLGAP5	9606.ENSP00000313950	9606.ENSP00000247191	0	0	0	0	0.956	0	0	0.650	0.984
AURKB	FAM64A	9606.ENSP00000313950	9606.ENSP00000250056	0	0	0	0	0.802	0	0	0.307	0.857
AURKB	GINS2	9606.ENSP00000313950	9606.ENSP00000253462	0	0	0	0	0.825	0	0	0.224	0.858
AURKB	CCNB1	9606.ENSP00000313950	9606.ENSP00000256442	0	0	0	0	0.941	0.165	0	0.821	0.990
AURKB	TROAP	9606.ENSP00000313950	9606.ENSP00000257909	0	0	0	0	0.916	0	0	0.181	0.928
AURKB	ESPL1	9606.ENSP00000313950	9606.ENSP00000257934	0	0	0	0	0.920	0	0	0.802	0.983
AURKB	KIF11	9606.ENSP00000313950	9606.ENSP00000260731	0	0	0	0	0.959	0.290	0	0.804	0.993
AURKB	MCM4	9606.ENSP00000313950	9606.ENSP00000262105	0	0	0	0	0.746	0	0	0.345	0.827
AURKB	GINS1	9606.ENSP00000313950	9606.ENSP00000262460	0	0	0	0	0.381	0	0	0.181	0.471
AURKB	CCNE1	9606.ENSP00000313950	9606.ENSP00000262643	0	0	0	0	0.261	0.104	0	0.448	0.603
AURKB	POLQ	9606.ENSP00000313950	9606.ENSP00000264233	0	0	0	0	0.676	0	0	0	0.676
AURKB	DEPDC1B	9606.ENSP00000313950	9606.ENSP00000265036	0	0	0	0	0.446	0	0	0.074	0.465
AURKB	MCM2	9606.ENSP00000313950	9606.ENSP00000265056	0	0	0	0	0.828	0	0	0.436	0.898
AURKB	PLK4	9606.ENSP00000313950	9606.ENSP00000270861	0	0	0	0.832	0.735	0.340	0	0.679	0.838
AURKB	NUF2	9606.ENSP00000313950	9606.ENSP00000271452	0	0	0	0	0.829	0.270	0	0.806	0.973
AURKB	CCNA2	9606.ENSP00000313950	9606.ENSP00000274026	0	0	0	0	0.967	0.104	0	0.672	0.989
AURKB	CDCA5	9606.ENSP00000313950	9606.ENSP00000275517	0	0	0	0	0.788	0	0	0.565	0.904
AURKB	CENPU	9606.ENSP00000313950	9606.ENSP00000281453	0	0	0	0	0.551	0	0	0.411	0.724
AURKB	SPC25	9606.ENSP00000313950	9606.ENSP00000282074	0	0	0	0	0.683	0	0	0.337	0.781
