#node	identifier	node_degree
ACOXL	9606.ENSP00000407761	0
AURKB	9606.ENSP00000313950	73
BHLHA15	9606.ENSP00000476312	1
BIRC5	9606.ENSP00000301633	73
BUB1	9606.ENSP00000302530	73
BUB1B	9606.ENSP00000287598	73
C16orf59	9606.ENSP00000355022	2
CAV1	9606.ENSP00000339191	4
CCL25	9606.ENSP00000375086	0
CCNA2	9606.ENSP00000274026	73
CCNB1	9606.ENSP00000256442	72
CCNB2	9606.ENSP00000288207	73
CCNE1	9606.ENSP00000262643	43
CD38	9606.ENSP00000226279	7
CDC20	9606.ENSP00000361540	74
CDC45	9606.ENSP00000405726	73
CDC6	9606.ENSP00000209728	73
CDCA2	9606.ENSP00000328228	65
CDCA3	9606.ENSP00000442068	59
CDCA5	9606.ENSP00000275517	72
CDCA8	9606.ENSP00000362146	73
CDK1	9606.ENSP00000378699	75
CENPA	9606.ENSP00000336868	69
CENPM	9606.ENSP00000215980	58
CENPU	9606.ENSP00000281453	58
CEP55	9606.ENSP00000360540	70
CHAC1	9606.ENSP00000398105	2
CHEK1	9606.ENSP00000388648	66
CLPTM1L	9606.ENSP00000313854	2
CLSPN	9606.ENSP00000312995	51
DENND5B	9606.ENSP00000373734	0
DEPDC1	9606.ENSP00000412292	60
DEPDC1B	9606.ENSP00000265036	46
DERL3	9606.ENSP00000384744	3
DHCR24	9606.ENSP00000360316	1
DLGAP5	9606.ENSP00000247191	72
DTL	9606.ENSP00000355958	69
E2F8	9606.ENSP00000481103	55
EAF2	9606.ENSP00000273668	1
ELL2	9606.ENSP00000237853	1
ESCO2	9606.ENSP00000306999	50
ESPL1	9606.ENSP00000257934	68
EXO1	9606.ENSP00000355506	71
FAM64A	9606.ENSP00000250056	56
FBXO16	9606.ENSP00000369604	2
FOXM1	9606.ENSP00000342307	69
GGH	9606.ENSP00000260118	5
GINS1	9606.ENSP00000262460	48
GINS2	9606.ENSP00000253462	68
GLDC	9606.ENSP00000370737	1
GPRC5D	9606.ENSP00000228887	0
GSG2	9606.ENSP00000325290	27
GTSE1	9606.ENSP00000415430	62
HERPUD1	9606.ENSP00000409555	4
HJURP	9606.ENSP00000414109	67
HMGB3	9606.ENSP00000359393	1
HMMR	9606.ENSP00000377492	69
HRASLS2	9606.ENSP00000255695	0
HSP90B1	9606.ENSP00000299767	8
IGF1	9606.ENSP00000302665	3
IGJ	9606.ENSP00000254801	7
IGLL5	9606.ENSP00000431254	5
ITM2C	9606.ENSP00000322730	2
KCNN3	9606.ENSP00000481848	3
KIF11	9606.ENSP00000260731	72
KIF18B	9606.ENSP00000465992	54
KIF20A	9606.ENSP00000378356	73
KIF2C	9606.ENSP00000361298	73
KIF4A	9606.ENSP00000363524	72
KIFC1	9606.ENSP00000393963	63
MCM2	9606.ENSP00000265056	63
MCM4	9606.ENSP00000262105	62
MIXL1	9606.ENSP00000442439	1
MYBL2	9606.ENSP00000217026	62
MZB1	9606.ENSP00000303920	5
NEK2	9606.ENSP00000355966	68
NUF2	9606.ENSP00000271452	70
ORC1	9606.ENSP00000360623	57
OXCT2	9606.ENSP00000361914	0
PBK	9606.ENSP00000428489	73
PIF1	9606.ENSP00000328174	17
PIR	9606.ENSP00000369786	0
PLK4	9606.ENSP00000270861	66
POLQ	9606.ENSP00000264233	49
POU2AF1	9606.ENSP00000376786	6
PTTG1	9606.ENSP00000377536	69
PYCR1	9606.ENSP00000384949	1
RAD51	9606.ENSP00000372088	63
RAD51AP1	9606.ENSP00000228843	69
RAD54L	9606.ENSP00000361043	67
RRM2	9606.ENSP00000353770	73
SCD	9606.ENSP00000359380	2
SDC1	9606.ENSP00000370542	7
SHCBP1	9606.ENSP00000306473	60
SKA1	9606.ENSP00000285116	55
SLC16A14	9606.ENSP00000295190	0
SPACA3	9606.ENSP00000269053	0
SPAG5	9606.ENSP00000323300	69
SPATS2	9606.ENSP00000448228	1
SPC24	9606.ENSP00000465075	50
SPC25	9606.ENSP00000282074	54
SPCS2	9606.ENSP00000263672	0
SUB1	9606.ENSP00000265073	1
TCF19	9606.ENSP00000365433	35
TK1	9606.ENSP00000301634	59
TNFRSF13B	9606.ENSP00000261652	5
TNFRSF17	9606.ENSP00000053243	7
TOP2A	9606.ENSP00000411532	75
TPX2	9606.ENSP00000300403	73
TRAM2	9606.ENSP00000182527	1
TRIP13	9606.ENSP00000166345	67
TROAP	9606.ENSP00000257909	59
TTK	9606.ENSP00000358813	74
TWIST2	9606.ENSP00000482581	0
TXNDC11	9606.ENSP00000283033	2
TXNDC5	9606.ENSP00000369081	3
TYMS	9606.ENSP00000315644	66
UBE2C	9606.ENSP00000348838	71
UBE2T	9606.ENSP00000356243	50
UCHL1	9606.ENSP00000284440	3
XBP1	9606.ENSP00000216037	10
ZWINT	9606.ENSP00000363055	68
