id,pert_id,pert_iname,cell_iname,pert_type,pert_idose,pert_itime,nsample,ss_ngene,cc_q75,tas,qc_pass,is_hiq,is_ncs_sig,is_exemplar_sig,is_null_sig,moa,target_name,raw_cs,fdr_q_nlog10,norm_cs
CPC017_MCF7_24H:BRD-K89997465-001-05-3:10,BRD-K89997465,BRD-K89997465,MCF7,trt_cp,10 uM,24 h,5,421,0.56,0.490982,1,1,1,1,0,Dopamine receptor antagonist,DRD2|DRD3|DRD4|HTR2A|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD5|HRH1|HTR1A|HTR2C|HTR6|HTR7|KIF11|ADRA1A|ADRA1B|ADRA1D|CALM1|CHRM1|CHRM3|HRH4|HTR2B|KCNH2|ORM1|ORM2|SMPD1|TRPC5,-0.9298,15.6536,-1.8434
REP.A026_HUVEC.A_24H:G07,BRD-K89997465,BRD-K89997465,HUVEC,trt_cp,10 uM,24 h,3,519,0.2877,0.390737,0,0,1,1,0,Dopamine receptor antagonist,DRD2|DRD3|DRD4|HTR2A|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD5|HRH1|HTR1A|HTR2C|HTR6|HTR7|KIF11|ADRA1A|ADRA1B|ADRA1D|CALM1|CHRM1|CHRM3|HRH4|HTR2B|KCNH2|ORM1|ORM2|SMPD1|TRPC5,-0.8724,15.6536,-1.7297
REP.A022_MCF10A_24H:C13,BRD-K68532323,SB-743921,MCF10A,trt_cp,10 uM,24 h,2,354,0.5026,0.426524,0,0,1,1,0,Kinesin inhibitor,KIF11,-0.8189,15.6536,-1.6237
REP.A022_HELA_24H:C13,BRD-K68532323,SB-743921,HELA,trt_cp,10 uM,24 h,2,647,0.8193,0.736214,0,0,1,1,0,Kinesin inhibitor,KIF11,-0.8093,15.6536,-1.6047
CPC013_NEU_24H:BRD-K64881305-001-01-1:10,BRD-K64881305,ispinesib,NEU,trt_cp,10 uM,24 h,2,249,0.22,0.236669,0,0,1,1,0,Kinesin inhibitor,KIF11,-0.7924,15.6536,-1.571
CPC017_ASC_24H:BRD-K89997465-001-05-3:10,BRD-K89997465,BRD-K89997465,ASC,trt_cp,10 uM,24 h,4,122,0.33,0.202893,1,0,1,1,0,Dopamine receptor antagonist,DRD2|DRD3|DRD4|HTR2A|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD5|HRH1|HTR1A|HTR2C|HTR6|HTR7|KIF11|ADRA1A|ADRA1B|ADRA1D|CALM1|CHRM1|CHRM3|HRH4|HTR2B|KCNH2|ORM1|ORM2|SMPD1|TRPC5,-0.7922,15.6536,-1.5707
REP.A026_HT29_24H:G07,BRD-K89997465,BRD-K89997465,HT29,trt_cp,10 uM,24 h,3,261,0.3225,0.29337,0,0,1,1,0,Dopamine receptor antagonist,DRD2|DRD3|DRD4|HTR2A|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD5|HRH1|HTR1A|HTR2C|HTR6|HTR7|KIF11|ADRA1A|ADRA1B|ADRA1D|CALM1|CHRM1|CHRM3|HRH4|HTR2B|KCNH2|ORM1|ORM2|SMPD1|TRPC5,-0.7761,15.6536,-1.5389
CPC013_A375_6H:BRD-K64881305-001-01-1:10,BRD-K64881305,ispinesib,A375,trt_cp,10 uM,6 h,3,460,0.51,0.489773,1,1,1,1,0,Kinesin inhibitor,KIF11,-0.776,15.6536,-1.5386
CPC004_HA1E_24H:BRD-K89997465-001-05-3:10,BRD-K89997465,BRD-K89997465,HA1E,trt_cp,10 uM,24 h,3,259,0.45,0.345213,1,1,1,1,0,Dopamine receptor antagonist,DRD2|DRD3|DRD4|HTR2A|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD5|HRH1|HTR1A|HTR2C|HTR6|HTR7|KIF11|ADRA1A|ADRA1B|ADRA1D|CALM1|CHRM1|CHRM3|HRH4|HTR2B|KCNH2|ORM1|ORM2|SMPD1|TRPC5,-0.7681,15.6536,-1.523
CPC014_VCAP_24H:BRD-A67748489-001-06-8:10,BRD-A67748489,K-858,VCAP,trt_cp,10 uM,24 h,5,264,0.26,0.264923,0,0,1,1,0,Kinesin inhibitor,KIF11,-0.7454,15.6536,-1.478
MOAR006_A375_24H:C07,BRD-K37379014,filanesib,A375,trt_cp,10 uM,24 h,3,473,0.7,0.581849,1,1,1,1,0,Kinesin inhibitor,KIF11,-0.7392,15.6536,-1.4656
LIVB001_HUH7_72H:C12,BRD-K89997465,BRD-K89997465,HUH7,trt_cp,10 uM,72 h,3,180,0.37,0.260956,0,0,1,1,0,Dopamine receptor antagonist,DRD2|DRD3|DRD4|HTR2A|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD5|HRH1|HTR1A|HTR2C|HTR6|HTR7|KIF11|ADRA1A|ADRA1B|ADRA1D|CALM1|CHRM1|CHRM3|HRH4|HTR2B|KCNH2|ORM1|ORM2|SMPD1|TRPC5,-0.7278,15.6536,-1.4431
CPC016_HEPG2_6H:BRD-A78377521-001-03-0:10,BRD-A78377521,monastrol,HEPG2,trt_cp,10 uM,6 h,3,49,0.04,0.0447671,1,0,1,1,0,Kinesin inhibitor,KIF11,-0.7203,15.3525,-1.4281
PBIOA016_A375_24H:M01,BRD-K68532323,SB-743921,A375,trt_cp,10 uM,24 h,2,637,0.7317,0.690346,1,1,1,1,0,Kinesin inhibitor,KIF11,-0.7024,4.4173,-1.3926
