id,pert_id,pert_iname,cell_iname,pert_type,pert_idose,pert_itime,nsample,ss_ngene,cc_q75,tas,qc_pass,is_hiq,is_ncs_sig,is_exemplar_sig,is_null_sig,moa,target_name,raw_cs,fdr_q_nlog10,norm_cs
CPC006_HA1E_24H:N01,BRD-A71390734,idarubicin,HA1E,trt_cp,0.08 uM,24 h,3,449,0.671,0.555028,1,1,1,1,0,Topoisomerase inhibitor,TOP2A,-0.983,15.6536,-1.9491
CPC006_A375_6H:N01,BRD-A71390734,idarubicin,A375,trt_cp,0.08 uM,6 h,5,468,0.6227,0.545875,1,1,1,1,0,Topoisomerase inhibitor,TOP2A,-0.9773,15.6536,-1.9376
LPROT002_NPC.TAK_6H:BRD-K37798499:5,BRD-K37798499,etoposide,NPC,trt_cp,4 uM,6 h,3,281,0.56,0.401123,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|TOP2B|CYP2E1|CYP3A5,-0.9741,15.6536,-1.9314
REP.B011_HUVEC.A_24H:P19,BRD-A33280134,etoposide,HUVEC,trt_cp,2.22 uM,24 h,2,239,0.3797,0.304614,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|TOP2B|CYP2E1|CYP3A5,-0.9725,15.6536,-1.9282
LJP006_LNCAP_24H:C22,BRD-K21680192,mitoxantrone,LNCAP,trt_cp,0.37 uM,24 h,2,319,0.6806,0.471164,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|PIM1,-0.9723,15.6536,-1.9277
CPC013_A375_6H:BRD-K56334280-001-01-0:10,BRD-K56334280,amonafide,A375,trt_cp,10 uM,6 h,3,354,0.54,0.442109,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|TOP2B,-0.9706,15.6536,-1.9243
CRCGN015_MCF10A_48H:BRD-K68346641:10.794,BRD-K68346641,amsacrine,MCF10A,trt_cp,10 uM,48 h,3,413,0.57,0.490617,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|KCNH2,-0.9662,15.6536,-1.9157
REP.B023_HUVEC.A_24H:O13,BRD-K72951360,valrubicin,HUVEC,trt_cp,2.22 uM,24 h,2,244,0.3728,0.304974,0,0,1,1,0,DNA inhibitor|Topoisomerase inhibitor,TOP2A,-0.963,15.6536,-1.9094
REP.A023_A375_24H:O15,BRD-K72951360,valrubicin,A375,trt_cp,1.11 uM,24 h,3,577,0.766,0.672253,1,1,1,1,0,DNA inhibitor|Topoisomerase inhibitor,TOP2A,-0.9606,15.6536,-1.9046
CPC011_A549_24H:BRD-K37798499-001-13-2:10,BRD-K37798499,etoposide,A549,trt_cp,10 uM,24 h,3,346,0.58,0.452984,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|TOP2B|CYP2E1|CYP3A5,-0.96,15.6536,-1.9034
CPC006_HA1E_24H:F17,BRD-A35588707,teniposide,HA1E,trt_cp,1.25 uM,24 h,3,524,0.6738,0.600844,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|CYP3A5|TOP2B,-0.9593,15.6536,-1.902
PAC003_U2OS_6H:BRD-K37798499-001-02-5:3.39814,BRD-K37798499,etoposide,U2OS,trt_cp,3.33 uM,6 h,2,111,0.41,0.215717,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|TOP2B|CYP2E1|CYP3A5,-0.9593,15.6536,-1.9019
CPC006_MCF7_6H:BRD-A35588707-001-03-0:1.25,BRD-A35588707,teniposide,MCF7,trt_cp,1.25 uM,6 h,5,331,0.46,0.394569,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|CYP3A5|TOP2B,-0.9575,15.6536,-1.8983
REP.A023_MCF7_24H:O14,BRD-K72951360,valrubicin,MCF7,trt_cp,3.33 uM,24 h,3,494,0.7493,0.615208,1,1,1,1,0,DNA inhibitor|Topoisomerase inhibitor,TOP2A,-0.9566,15.6536,-1.8966
REP.A023_A549_24H:O13,BRD-K72951360,valrubicin,A549,trt_cp,10 uM,24 h,3,576,0.7418,0.660975,1,1,1,1,0,DNA inhibitor|Topoisomerase inhibitor,TOP2A,-0.9557,15.6536,-1.8948
